old_ncs_line_code,new_ncs_line_code
HO18A,HO018A
HO18B,HO018B
HO190A,HO190A
HO190B,HO190B
HO19A,HO019A
HO19B,HO019B
HO19C,HO019C
HO19D,HO019D
HO20A,HO020A
HO20B,HO020B
HO24A,HO024A
HO24B,HO024B
HO26A,HO026A
HO26B,HO026B
HO28A,HO028A
HO28B,HO028B
HO33A,HO033A
HO33B,HO033B
HO33C,HO033C
HO34A,HO034A
HO34B,HO034B
HO34C,HO034C
HO71A,HO071A
HO80A,HO080A
HO80B,HO080B
HO80C,HO080C
HO80D,HO080D
HO81A,HO081A
HO81B,HO081B
HO81C,HO081C
HO81D,HO081D
HO82A,HO082A
HO83A,HO083A
HO84A,HO084A
HO84B,HO084B
HO84C,HO084C
HO86A,HO086A
HO86B,HO086B
HO90A,HO090A
HO90B,HO090B
HO90C,HO090C
HO91A,HO091A
HO91B,HO091B
HO92A,HO092A
HO92B,M092B
M001Aa,M001Aa
M001Ba,M001Ba
M001Cb,M001Cb
M001Db,M001Db
M001Eb,M001Eb
M001Fa,M001Fa
M001Ga,M001Ga
M001Ha,M001Ha
M001Ia,M001Ia
M003Ab,M003Ab
M003Bb,M003Bb
M003Ca,M003Ca
M004Aa,M004Aa
M004Bb,M004Bb
M004Cb,M004Cb
M004Da,M004Da
M004Ea,M004Ea
M004Fb,M004Fb
M005Ab,M005Ab
M005Ba,M005Ba
M006Aa,M006Aa
M006Bb,M006Bb
M006Ca,M006Ca
M006Da,M006Da
M006Eb,M006Eb
M007Aa,M007Aa
M007Bb,M007Bb
M008Ab,M008Ab
M008Bb,M008Bb
M008Ca,M008Ca
M008Da,M008Da
M008Ea,M008Ea
M008Fb,M008Fb
M009Aa,M009Aa
M009Ba,M009Ba
M009Cb,M009Cb
M009Db,M009Db
M009Eb,M009Eb
M010Aa,M010Aa
M010Bb,M010Bb
M010Ca,M010Ca
M011Aa,M011Aa
M011Ba,M011Ba
M011Cb,M011Cb
M011Db,M011Db
M011Eb,M011Eb
M011Fa,M011Fa
M012Aa,M012Aa
M012Bb,M012Bb
M012Cb,M012Cb
M012Da,M012Da
M012Eb,M012Eb
M012Fb,M012Fb
M013Ab,M013Ab
M013Ba,M013Ba
M013Ca,M013Ca
M013Da,M013Da
M013Ea,M013Ea
M014Ab,M014Ab
M014Bb,M014Bb
M014Ca,M014Ca
M014Da,M014Da
M015Ab,M015Ab
M015Ba,M015Ba
M015Ca,M015Ca
M016Aa,M016Aa
M016Bb,M016Bb
M016Cb,M016Cb
M019Aa,M019Aa
M019Ba,M019Ba
M019Ca,M019Ca
M019Db,M019Db
M019Eb,M019Eb
M019Fb,M019Fb
M019Gb,M019Gb
M019Hb,M019Hb
M019Ia,M019Ia
M019Ja,M019Ja
M019Kb,M019Kb
M020Ab,M020Ab
M020Bb,M020Bb
M020Ca,M020Ca
M020Db,M020Db
M021Ab,M021Ab
M021Ba,M021Ba
M022Aa,M022Aa
M022Bb,M022Bb
M023Aa,M023Aa
M023Ba,M023Ba
M023Ca,M023Ca
M023Db,M023Db
M024Aa,M024Aa
M024Bb,M024Bb
M025Aa,M025Aa
M026Ab,M026Ab
M026Ba,M026Ba
M026Cb,M026Cb
M026Db,M026Db
M028Aa,M028Aa
M028Ba,M028Ba
M028Cb,M028Cb
M028Da,M028Da
M028Eb,M028Eb
M029Aa,M029Aa
M029Ba,M029Ba
M029Cb,M029Cb
M029Da,M029Da
M029Eb,M029Eb
M030Ab,M030Ab
M030Ba,M030Ba
M032Aa,M032Aa
M032Bb,M032Bb
M034Ab,M034Ab
M034Ba,M034Ba
M035Aa,M035Aa
M035Bb,M035Bb
M035Cb,M035Cb
M035Da,M035Da
M035Ea,M035Ea
M035Fb,M035Fb
M035Gb,M035Gb
M035Hb,M035Hb
M035Ia,M035Ia
M035Ja,M035Ja
M036Ab,M036Ab
M037Ab,M037Ab
M037Ba,M037Ba
M038Ab,M038Ab
M038Ba,M038Ba
M038Cb,M038Cb
M038Db,M038Db
M038Eb,M038Eb
M038Fa,M038Fa
M039Aa,M039Aa
M039Ba,M039Ba
M039Cb,M039Cb
M039Db,M039Db
M039Ea,M039Ea
M039Fa,M039Fa
M041Ab,M041Ab
M041Ba,M041Ba
M041Ca,M041Ca
M041Db,M041Db
M041Eb,M041Eb
M042Ab,M042Ab
M042Ba,M042Ba
M043Aa,M043Aa
M043Bb,M043Bb
M044Aa,M044Aa
M044Ba,M044Ba
M044Cb,M044Cb
M044Db,M044Db
M044Eb,M044Eb
M045Aa,M045Aa
M045Bb,M045Bb
M045Ca,M045Ca
M045Da,M045Da
M045Eb,M045Eb
M045Fb,M045Fb
M045Gb,M045Gb
M046Aa,M046Aa
M046Bb,M046Bb
M047Aa,M047Aa
M048Ab,M048Ab
M048Ba,M048Ba
M049Ab,M049Ab
M049Bb,M049Bb
M049Ca,M049Ca
M049Db,M049Db
M049Ea,M049Ea
M051Aa,M051Aa
M051Ba,M051Ba
M051Cb,M051Cb
M051Db,M051Db
M051Eb,M051Eb
M053Ab,M053Ab
M053Ba,M053Ba
M053Ca,M053Ca
M053Db,M053Db
M057Aa,M057Aa
M057Bb,M057Bb
M057Cb,M057Cb
M059Ab,M059Ab
M061Aa,M061Aa
M061Ba,M061Ba
M061Cb,M061Cb
M061Db,M061Db
M061Eb,M061Eb
M061Fa,M061Fa
M064Aa,M064Aa
M064Bb,M064Bb
M066Ab,M066Ab
M066Ba,M066Ba
M067Ab,M067Ab
M067Ba,M067Ba
M068Aa,M068Aa
M070Aa,M070Aa
M070Bb,M070Bb
M071Ab,M071Ab
M071Ba,M071Ba
M073Ab,M073Ab
M073Ba,M073Ba
M076Aa,M076Aa
M076Bb,M076Bb
M087Aa,M087Aa
M087Bb,M087Bb
M090Ab,M090Ab
M090Ba,M090Ba
M090Ca,M090Ca
M090Da,M090Da
M091Ab,M091Ab
M091Ba,M091Ba
M101Aa,M101Aa
M101Ba,M101Ba
M101Cb,M101Cb
M101Da,M101Da
M101Eb,M101Eb
M101Fa,M101Fa
M101Gb,M101Gb
M101Ha,M101Ha
M101Ib,M101Ib
M101Jb,M101Jb
M101Kb,M101Kb
M103Aa,M103Aa
M103Bb,M103Bb
M107Ab,M107Ab
M107Bb,M107Bb
M107Ca,M107Ca
M107Da,M107Da
M108Ab,M108Ab
M108Ba,M108Ba
M109Aa,M109Aa
M109Ba,M109Ba
M109Cb,M109Cb
M109Db,M109Db
M110Aa,M110Aa
M110Ba,M110Ba
M110Cb,M110Cb
M110Db,M110Db
M110Eb,M110Eb
M110Fa,M110Fa
M185Ab,M185Ab
M185Ba,M185Ba
M302Ab,M302Ab
M304Aa,M304Aa
M304Bb,M304Bb
M305Aa,M305Aa
M305Bb,M305Bb
M306Aa,M306Aa
M306Bb,M306Bb
M307Aa,M307Aa
M308Ab,M308Ab
M308Ba,M308Ba
M309Ab,M309Ab
M310Aa,M310Aa
M312Aa,M312Aa
M314Aa,M314Aa
M314Bb,M314Bb
M315Aa,M315Aa
M315Bb,M315Bb
M321Ab,M321Ab
M321Ba,M321Ba
M334Ab,M334Ab
M335Ab,M335Ab
M347Ab,M347Ab
M347Ba,T347Ba
T005Ab,T005Ab
